"","ExR_43","ExR_57","ExR_62","ExR_65","ExR_69","ExR_72","ExR_76","ExR_79","ExR_83","NGRDI_43","NGRDI_57","NGRDI_62","NGRDI_65","NGRDI_69","NGRDI_72","NGRDI_76","NGRDI_79","NGRDI_83"
"Y001",0.138336971436615,0.108435597295102,0.106333294652948,0.09295768390609,0.0362879230447818,0.0570047248258276,0.0692403031755761,0.0799460293507182,0.0755138468776418,0.027009007345249,0.0600828304623664,0.0661116499781473,0.075805661609408,0.140271149243425,0.126169685497798,0.082057272573896,0.0767186336273382,0.084758760544584
"Y002",0.136233149425319,0.117255756214505,0.11199057495969,0.101606241293438,0.0408926102651145,0.0645276701043445,0.0608065957400647,0.0655652812536563,0.0606040743742879,0.0288328464142398,0.0527030404278904,0.0615362641641291,0.0688086548911669,0.132710930709411,0.119464455833706,0.0844732348803556,0.0833530837948385,0.0893112499030605
"Y003",0.133495410461465,0.115159156639506,0.106527519429811,0.100374217874519,0.0544777018636448,0.0748643328316079,0.0784177068182813,0.0907232747175444,0.0857869646917853,0.0272975479174574,0.0519621943469062,0.0614362359231911,0.0669406723991168,0.11914732023848,0.109714849009969,0.0682584771141849,0.0601876651868897,0.0645771607322626
"Y004",0.14046880909129,0.10804203376279,0.0979629037917272,0.0877015604872803,0.0220191278383883,0.0518268502795839,0.0520337531254997,0.0616357462721375,0.0587982611751034,0.0268349793801503,0.05801770371384,0.0715550576643221,0.0804917254509089,0.15275672349844,0.128438007006781,0.0976773148007998,0.0916634121806131,0.0970182007425585
"Y005",0.136092107937185,0.112412795496673,0.10455777929472,0.100042022212089,0.0403257553898042,0.0679699947235499,0.0603723886422453,0.067220054951134,0.0623051587042927,0.0267807942940613,0.0537905469908756,0.0650370675539738,0.0693865245139724,0.130958983653927,0.116683215574616,0.0836110166978074,0.0814465140406791,0.0901152391830036
"Y006",0.141016937540108,0.109110711643678,0.103757555529631,0.096207867910518,0.0495356696449351,0.0856851413833329,0.0866546344670376,0.0948580556242858,0.091096783151772,0.0302870550024832,0.058536275479882,0.0681680596876594,0.0754309068175042,0.127444156798282,0.108065249579727,0.0674858009062935,0.0647002245878955,0.0718182231591069
"Y007",0.129590958193465,0.10624933555216,0.100451678559564,0.0921746557271662,0.0516660660657144,0.0910699374657243,0.0873721488320465,0.096500315153633,0.0863348721516875,0.0296749705546187,0.0563623156401832,0.0637238711445205,0.0700746628232525,0.119093523825994,0.100001063590698,0.0587449374054676,0.0501688615810395,0.0633945897071773
"Y008",0.140998444448884,0.126011438632844,0.115801670666092,0.0996734099279442,0.0651029797211415,0.0893044012257978,0.0726607129360198,0.0778589830320686,0.0656793640256105,0.0263253348842975,0.0448388124487449,0.0539819053548851,0.0662920362243536,0.105460092662659,0.100101303450053,0.0652739363362179,0.0648142441738052,0.0828058210885529
"Y009",0.133791716410717,0.114001068701385,0.117222225043496,0.0989705478875618,0.0530268256903745,0.0847339114966301,0.0861293413968619,0.093901881199743,0.0901381220235158,0.0281266586763179,0.0553933678754216,0.0557956986835719,0.0714449049373871,0.12129133025497,0.107241127313629,0.0636698885294658,0.0654798430215267,0.0700519891559735
"Y010",0.134208716564389,0.109071131869013,0.0982243308479998,0.0914149543924517,0.0363825626972738,0.0663657534484322,0.0749579130728872,0.0740004603612443,0.0624301129077757,0.0289146660064195,0.0573122031435852,0.0715539257740746,0.0769677471206284,0.1385058603653,0.118276063584127,0.0696082755878052,0.0770722887840799,0.0889510263791861
