,timeNumber,timePoint,geno.decomp,genotype,predicted.values,standard.errors,plantingDate,DAP
1,1,6/7/2018,Ki3/NC356,Y001,2.361810691,0.933320249,3/14/2018,85
2,1,6/7/2018,Ki3/NC356,Y002,1.161638902,0.934454661,3/14/2018,85
3,1,6/7/2018,Ki3/NC356,Y003,3.377489668,0.936992052,3/14/2018,85
4,1,6/7/2018,Ki3/NC356,Y004,2.336363878,0.932739598,3/14/2018,85
5,1,6/7/2018,Ki3/NC356,Y005,1.54244375,0.935726367,3/14/2018,85
6,1,6/7/2018,Ki3/NC356,Y006,4.778275725,0.932753988,3/14/2018,85
7,1,6/7/2018,Ki3/NC356,Y007,1.788774816,0.935015946,3/14/2018,85
8,1,6/7/2018,Ki3/NC356,Y008,1.284388249,0.934203626,3/14/2018,85
9,1,6/7/2018,Ki3/NC356,Y009,4.710687033,0.933714014,3/14/2018,85
10,1,6/7/2018,Ki3/NC356,Y010,2.351827639,0.933968445,3/14/2018,85
11,1,6/7/2018,Ki3/NC356,Y011,0.874008151,0.932304011,3/14/2018,85
12,1,6/7/2018,Ki3/NC356,Y012,1.669906093,0.932712683,3/14/2018,85
13,1,6/7/2018,Ki3/NC356,Y013,1.625926172,0.933381899,3/14/2018,85
14,1,6/7/2018,Ki3/NC356,Y014,1.862545743,0.934110184,3/14/2018,85
15,1,6/7/2018,Ki3/NC356,Y015,1.177563653,0.932726989,3/14/2018,85
16,1,6/7/2018,Ki3/NC356,Y016,0.908364803,0.933582732,3/14/2018,85
17,1,6/7/2018,Ki3/NC356,Y017,2.491900244,0.933732934,3/14/2018,85
18,1,6/7/2018,Ki3/NC356,Y018,2.185186097,1.012027555,3/14/2018,85
19,1,6/7/2018,Ki3/NC356,Y019,3.9182435,0.933331872,3/14/2018,85
20,1,6/7/2018,Ki3/NC356,Y020,3.202985045,0.934092922,3/14/2018,85
21,1,6/7/2018,Ki3/NC356,Y021,2.449415502,0.934073997,3/14/2018,85
22,1,6/7/2018,Ki3/NC356,Y022,2.984622765,0.933708753,3/14/2018,85
23,1,6/7/2018,Ki3/NC356,Y023,1.835562315,0.933899773,3/14/2018,85
24,1,6/7/2018,Ki3/NC356,Y024,1.088063005,0.935067574,3/14/2018,85
25,1,6/7/2018,Ki3/NC356,Y025,0.800664226,0.935225396,3/14/2018,85
26,1,6/7/2018,Ki3/NC356,Y026,5.325446207,0.935810529,3/14/2018,85
27,1,6/7/2018,Ki3/NC356,Y027,0.738459411,0.934795157,3/14/2018,85
28,1,6/7/2018,Ki3/NC356,Y028,4.109695796,0.934041339,3/14/2018,85
29,1,6/7/2018,Ki3/NC356,Y029,2.123124788,0.933630014,3/14/2018,85
30,1,6/7/2018,Ki3/NC356,Y030,1.247961915,0.934805429,3/14/2018,85
31,1,6/7/2018,Ki3/NC356,Y031,1.743165379,0.934507754,3/14/2018,85
32,1,6/7/2018,Ki3/NC356,Y032,2.561334229,0.934372431,3/14/2018,85
33,1,6/7/2018,Ki3/NC356,Y033,1.520142178,0.933974455,3/14/2018,85
34,1,6/7/2018,Ki3/NC356,Y034,3.144073782,0.934326151,3/14/2018,85
35,1,6/7/2018,Ki3/NC356,Y035,2.16046823,0.934218988,3/14/2018,85
36,1,6/7/2018,Ki3/NC356,Y036,1.804023723,0.934981906,3/14/2018,85
37,1,6/7/2018,Ki3/NC356,Y037,1.832924976,0.932304595,3/14/2018,85
38,1,6/7/2018,Ki3/NC356,Y038,2.260552058,0.933502237,3/14/2018,85
39,1,6/7/2018,Ki3/NC356,Y039,2.920208283,0.934301082,3/14/2018,85
40,1,6/7/2018,Ki3/NC356,Y040,2.287575165,0.93424804,3/14/2018,85
41,1,6/7/2018,Ki3/NC356,Y041,2.956390334,0.933409294,3/14/2018,85
42,1,6/7/2018,Ki3/NC356,Y042,2.351044895,0.935970789,3/14/2018,85
43,1,6/7/2018,Ki3/NC356,Y043,1.901187517,0.935714658,3/14/2018,85
